Volatility 3 Framework 2.7.0

Virtual	Physical	Size	Offset in File	File output

0x10000	0x4208000	0x1000	0x0	Disabled
0x20000	0x8147000	0x1000	0x1000	Disabled
0x6e000	0x122b8000	0x1000	0x2000	Disabled
0x6f000	0x7b1c000	0x1000	0x3000	Disabled
0x70000	0x1638c000	0x1000	0x4000	Disabled
0x71000	0x1624d000	0x1000	0x5000	Disabled
0x80000	0x11841000	0x1000	0x6000	Disabled
0x81000	0x1d616000	0x1000	0x7000	Disabled
0x82000	0x87c2000	0x1000	0x8000	Disabled
0x83000	0x50bb000	0x1000	0x9000	Disabled
0x84000	0x44ba000	0x1000	0xa000	Disabled
0x85000	0x11a39000	0x1000	0xb000	Disabled
0x86000	0x12eb8000	0x1000	0xc000	Disabled
0x87000	0x87f7000	0x1000	0xd000	Disabled
0x88000	0x8fb3000	0x1000	0xe000	Disabled
0x89000	0x6ab2000	0x1000	0xf000	Disabled
0x8a000	0x8771000	0x1000	0x10000	Disabled
0x8b000	0x4bf0000	0x1000	0x11000	Disabled
0x8c000	0x117ef000	0x1000	0x12000	Disabled
0x8d000	0x4cee000	0x1000	0x13000	Disabled
0x8e000	0x586d000	0x1000	0x14000	Disabled
0x8f000	0x1b62c000	0x1000	0x15000	Disabled
0x90000	0x1206b000	0x1000	0x16000	Disabled
0x91000	0x11c2a000	0x1000	0x17000	Disabled
0x92000	0x1a6a9000	0x1000	0x18000	Disabled
0x93000	0x5168000	0x1000	0x19000	Disabled
0x94000	0x4b27000	0x1000	0x1a000	Disabled
0x95000	0x3fe6000	0x1000	0x1b000	Disabled
0x96000	0x80e5000	0x1000	0x1c000	Disabled
0x97000	0x3f64000	0x1000	0x1d000	Disabled
0x98000	0x4d23000	0x1000	0x1e000	Disabled
0x99000	0x42a2000	0x1000	0x1f000	Disabled
0x9a000	0x6ce1000	0x1000	0x20000	Disabled
0x9b000	0x4a60000	0x1000	0x21000	Disabled
0x9c000	0x811f000	0x1000	0x22000	Disabled
0x9d000	0x879e000	0x1000	0x23000	Disabled
0x9e000	0x3fdd000	0x1000	0x24000	Disabled
0x9f000	0x11adc000	0x1000	0x25000	Disabled
0xa0000	0x4bdb000	0x1000	0x26000	Disabled
0xa1000	0x4cda000	0x1000	0x27000	Disabled
0xa2000	0x6fd9000	0x1000	0x28000	Disabled
0xa3000	0x3a98000	0x1000	0x29000	Disabled
0xa4000	0x6b97000	0x1000	0x2a000	Disabled
0xa5000	0x11716000	0x1000	0x2b000	Disabled
0xa6000	0x4b95000	0x1000	0x2c000	Disabled
0xa7000	0x4ad4000	0x1000	0x2d000	Disabled
0xa8000	0x6ad7000	0x1000	0x2e000	Disabled
0xa9000	0x4eb6000	0x1000	0x2f000	Disabled
0xaa000	0x14b75000	0x1000	0x30000	Disabled
0xab000	0x50b4000	0x1000	0x31000	Disabled
0xac000	0x8113000	0x1000	0x32000	Disabled
0xad000	0x7e92000	0x1000	0x33000	Disabled
0xae000	0x5091000	0x1000	0x34000	Disabled
0xaf000	0x4ed0000	0x1000	0x35000	Disabled
0xb0000	0x4c0f000	0x1000	0x36000	Disabled
0xb1000	0x4c4e000	0x1000	0x37000	Disabled
0xb2000	0x11b0d000	0x1000	0x38000	Disabled
0xb3000	0xcc4c000	0x1000	0x39000	Disabled
0xb4000	0x814b000	0x1000	0x3a000	Disabled
0xb5000	0xdfca000	0x1000	0x3b000	Disabled
0xb6000	0x4f09000	0x1000	0x3c000	Disabled
0xb7000	0x8188000	0x1000	0x3d000	Disabled
0xb8000	0x87c7000	0x1000	0x3e000	Disabled
0xb9000	0x7ec6000	0x1000	0x3f000	Disabled
0xba000	0x4b45000	0x1000	0x40000	Disabled
0xbb000	0x8784000	0x1000	0x41000	Disabled
0xbc000	0xa783000	0x1000	0x42000	Disabled
0xbd000	0xa802000	0x1000	0x43000	Disabled
0xbe000	0x51c1000	0x1000	0x44000	Disabled
0xbf000	0x5100000	0x1000	0x45000	Disabled
0xc0000	0x4ebf000	0x1000	0x46000	Disabled
0xc1000	0x4ebe000	0x1000	0x47000	Disabled
0xc2000	0x48bd000	0x1000	0x48000	Disabled
0xc3000	0x50bc000	0x1000	0x49000	Disabled
0xc4000	0x877b000	0x1000	0x4a000	Disabled
0xc5000	0x3bba000	0x1000	0x4b000	Disabled
0xc6000	0x10839000	0x1000	0x4c000	Disabled
0xc7000	0x50b8000	0x1000	0x4d000	Disabled
0xc8000	0x4e77000	0x1000	0x4e000	Disabled
0xc9000	0x11af6000	0x1000	0x4f000	Disabled
0xca000	0x11635000	0x1000	0x50000	Disabled
0xcb000	0x4cf4000	0x1000	0x51000	Disabled
0xcc000	0x5133000	0x1000	0x52000	Disabled
0xcd000	0x85f2000	0x1000	0x53000	Disabled
0xce000	0xd5f1000	0x1000	0x54000	Disabled
0xcf000	0x6b70000	0x1000	0x55000	Disabled
0xd0000	0x516f000	0x1000	0x56000	Disabled
0xd1000	0x4bee000	0x1000	0x57000	Disabled
0xd2000	0xa12d000	0x1000	0x58000	Disabled
0xd3000	0x141ec000	0x1000	0x59000	Disabled
0xd4000	0x402b000	0x1000	0x5a000	Disabled
0xd5000	0x1a6aa000	0x1000	0x5b000	Disabled
0xd6000	0x8fa9000	0x1000	0x5c000	Disabled
0xd7000	0x50e8000	0x1000	0x5d000	Disabled
0xd8000	0x4aa7000	0x1000	0x5e000	Disabled
0xd9000	0x50e6000	0x1000	0x5f000	Disabled
0xda000	0x4ee5000	0x1000	0x60000	Disabled
0xdb000	0x8fa4000	0x1000	0x61000	Disabled
0xdc000	0x80e3000	0x1000	0x62000	Disabled
0xdd000	0x3ba2000	0x1000	0x63000	Disabled
0xde000	0x4c61000	0x1000	0x64000	Disabled
0xdf000	0x48a0000	0x1000	0x65000	Disabled
0xe0000	0x4d1f000	0x1000	0x66000	Disabled
0xe1000	0x4b1e000	0x1000	0x67000	Disabled
0xe2000	0x811d000	0x1000	0x68000	Disabled
0xe3000	0x11b1c000	0x1000	0x69000	Disabled
0xe4000	0x4b9b000	0x1000	0x6a000	Disabled
0xe5000	0x4f9a000	0x1000	0x6b000	Disabled
0xe6000	0x1a319000	0x1000	0x6c000	Disabled
0xe7000	0x1dcd8000	0x1000	0x6d000	Disabled
0xe8000	0x6c97000	0x1000	0x6e000	Disabled
0xe9000	0x8fd6000	0x1000	0x6f000	Disabled
0xea000	0x4b15000	0x1000	0x70000	Disabled
0xeb000	0x4a54000	0x1000	0x71000	Disabled
0xec000	0x11813000	0x1000	0x72000	Disabled
0xed000	0x1b652000	0x1000	0x73000	Disabled
0xee000	0x4f91000	0x1000	0x74000	Disabled
0xef000	0x4fd0000	0x1000	0x75000	Disabled
0xf0000	0x4c4f000	0x1000	0x76000	Disabled
0xf1000	0x4bce000	0x1000	0x77000	Disabled
0xf2000	0x514d000	0x1000	0x78000	Disabled
0xf3000	0x6f0c000	0x1000	0x79000	Disabled
0xf4000	0x4ccb000	0x1000	0x7a000	Disabled
0xf5000	0x814a000	0x1000	0x7b000	Disabled
0xf6000	0x4fc9000	0x1000	0x7c000	Disabled
0xf7000	0x8148000	0x1000	0x7d000	Disabled
0xf8000	0x4bc7000	0x1000	0x7e000	Disabled
0xf9000	0x4d86000	0x1000	0x7f000	Disabled
0x100000	0x8778000	0x1000	0x80000	Disabled
0x101000	0x1d7b6000	0x1000	0x81000	Disabled
0x102000	0x3f61000	0x1000	0x82000	Disabled
0x103000	0x12413000	0x1000	0x83000	Disabled
0x104000	0x6b43000	0x1000	0x84000	Disabled
0x105000	0x4382000	0x1000	0x85000	Disabled
0x106000	0x1a1d8000	0x1000	0x86000	Disabled
0x107000	0x1db96000	0x1000	0x87000	Disabled
0x108000	0x1d6ad000	0x1000	0x88000	Disabled
0x109000	0x8d39000	0x1000	0x89000	Disabled
0x10a000	0x1dc41000	0x1000	0x8a000	Disabled
0x10b000	0x1dc02000	0x1000	0x8b000	Disabled
0x10c000	0x1db83000	0x1000	0x8c000	Disabled
0x10d000	0x1d8c4000	0x1000	0x8d000	Disabled
0x10e000	0x1ce72000	0x1000	0x8e000	Disabled
0x200000	0x11b34000	0x1000	0x8f000	Disabled
0x201000	0x14a7b000	0x1000	0x90000	Disabled
0x202000	0x4ab4000	0x1000	0x91000	Disabled
0x203000	0x8877000	0x1000	0x92000	Disabled
0x210000	0x59c5000	0x1000	0x93000	Disabled
0x211000	0x11a46000	0x1000	0x94000	Disabled
0x220000	0x4cdc000	0x2000	0x95000	Disabled
0x227000	0x4cde000	0x1000	0x97000	Disabled
0x22f000	0x4cdf000	0x2000	0x98000	Disabled
0x240000	0x4ce1000	0x1000	0x9a000	Disabled
0x290000	0x4ed2000	0x1000	0x9b000	Disabled
0x2e0000	0x4ce9000	0x1000	0x9c000	Disabled
0x2e3000	0x4cea000	0x3000	0x9d000	Disabled
0x3b0000	0xcc06000	0x1000	0xa0000	Disabled
0x3c0000	0xcbc2000	0x1000	0xa1000	Disabled
0x3c4000	0x1646d000	0x1000	0xa2000	Disabled
0x3c5000	0x18050000	0x1000	0xa3000	Disabled
0x3c7000	0x19ff8000	0x1000	0xa4000	Disabled
0x4c0000	0xcc03000	0x1000	0xa5000	Disabled
0x4d0000	0x1d6c6000	0x1000	0xa6000	Disabled
0x560000	0x12387000	0x1000	0xa7000	Disabled
0x66f000	0x197dc000	0x1000	0xa8000	Disabled
0x670000	0x6e73000	0x1000	0xa9000	Disabled
0x671000	0x11df2000	0x1000	0xaa000	Disabled
0x672000	0x1b270000	0x1000	0xab000	Disabled
0x673000	0x123af000	0x1000	0xac000	Disabled
0x674000	0x11838000	0x1000	0xad000	Disabled
0x680000	0x6e45000	0x1000	0xae000	Disabled
0x690000	0x4f10000	0x1000	0xaf000	Disabled
0x691000	0x4ed1000	0x1000	0xb0000	Disabled
0x6a0000	0x11cba000	0x1000	0xb1000	Disabled
0x6a1000	0x1d5f7000	0x1000	0xb2000	Disabled
0x6a2000	0x4c5a000	0x1000	0xb3000	Disabled
0x6a3000	0x1b60e000	0x1000	0xb4000	Disabled
0x6a4000	0x4ed9000	0x1000	0xb5000	Disabled
0x6a5000	0x100d8000	0x1000	0xb6000	Disabled
0x6a6000	0x14c57000	0x1000	0xb7000	Disabled
0x6a7000	0x1d77f000	0x1000	0xb8000	Disabled
0x6a8000	0x1d9a4000	0x1000	0xb9000	Disabled
0x6a9000	0x725b000	0x1000	0xba000	Disabled
0x6b0000	0x1d897000	0x1000	0xbb000	Disabled
0x6c0000	0x1b716000	0x1000	0xbc000	Disabled
0x6c1000	0x1b497000	0x1000	0xbd000	Disabled
0x6c2000	0x10a18000	0x1000	0xbe000	Disabled
0x6c3000	0xdd99000	0x1000	0xbf000	Disabled
0x6d0000	0x11fc6000	0x1000	0xc0000	Disabled
0x6d1000	0x15c87000	0x1000	0xc1000	Disabled
0x6e0000	0x12f6b000	0x1000	0xc2000	Disabled
0x6e1000	0x4a13000	0x1000	0xc3000	Disabled
0x6f0000	0x80bf000	0x1000	0xc4000	Disabled
0x6f1000	0x80be000	0x1000	0xc5000	Disabled
0x6f2000	0x877d000	0x1000	0xc6000	Disabled
0x6f3000	0x80bc000	0x1000	0xc7000	Disabled
0x6f4000	0x487b000	0x1000	0xc8000	Disabled
0x6f5000	0x6eba000	0x1000	0xc9000	Disabled
0x6f6000	0x8779000	0x1000	0xca000	Disabled
0x6f7000	0x4bb8000	0x1000	0xcb000	Disabled
0x6f8000	0x4877000	0x1000	0xcc000	Disabled
0x6f9000	0x4e76000	0x1000	0xcd000	Disabled
0x6fa000	0x87f5000	0x1000	0xce000	Disabled
0x6fb000	0x6974000	0x1000	0xcf000	Disabled
0x6fc000	0x4b73000	0x1000	0xd0000	Disabled
0x6fd000	0x6972000	0x1000	0xd1000	Disabled
0x6fe000	0x4bb1000	0x1000	0xd2000	Disabled
0x6ff000	0x3bb0000	0x1000	0xd3000	Disabled
0x700000	0x4b6f000	0x1000	0xd4000	Disabled
0x701000	0x3b6e000	0x1000	0xd5000	Disabled
0x702000	0x51ad000	0x1000	0xd6000	Disabled
0x703000	0x11cec000	0x1000	0xd7000	Disabled
0x704000	0x50eb000	0x1000	0xd8000	Disabled
0x705000	0x402a000	0x1000	0xd9000	Disabled
0x706000	0x4ee9000	0x1000	0xda000	Disabled
0x707000	0x4b68000	0x1000	0xdb000	Disabled
0x708000	0x5b27000	0x1000	0xdc000	Disabled
0x709000	0x4ba6000	0x1000	0xdd000	Disabled
0x70a000	0x4a65000	0x1000	0xde000	Disabled
0x70b000	0x80e4000	0x1000	0xdf000	Disabled
0x70c000	0x4aa3000	0x1000	0xe0000	Disabled
0x70d000	0x4c62000	0x1000	0xe1000	Disabled
0x70e000	0x71a1000	0x1000	0xe2000	Disabled
0x70f000	0x6ca0000	0x1000	0xe3000	Disabled
0x710000	0x1ac1f000	0x1000	0xe4000	Disabled
0x711000	0x80de000	0x1000	0xe5000	Disabled
0x712000	0x4b1d000	0x1000	0xe6000	Disabled
0x713000	0x4edc000	0x1000	0xe7000	Disabled
0x714000	0x3a9b000	0x1000	0xe8000	Disabled
0x715000	0x6d5a000	0x1000	0xe9000	Disabled
0x716000	0x4e99000	0x1000	0xea000	Disabled
0x717000	0x6c98000	0x1000	0xeb000	Disabled
0x718000	0x7217000	0x1000	0xec000	Disabled
0x719000	0x4b96000	0x1000	0xed000	Disabled
0x71a000	0x6cd5000	0x1000	0xee000	Disabled
0x71b000	0x6b94000	0x1000	0xef000	Disabled
0x71c000	0x4bd3000	0x1000	0xf0000	Disabled
0x71d000	0x11ad2000	0x1000	0xf1000	Disabled
0x71e000	0x6ad1000	0x1000	0xf2000	Disabled
0x71f000	0x4a90000	0x1000	0xf3000	Disabled
0x720000	0x6e4f000	0x1000	0xf4000	Disabled
0x721000	0x6f4e000	0x1000	0xf5000	Disabled
0x722000	0x4c0d000	0x1000	0xf6000	Disabled
0x723000	0x814c000	0x1000	0xf7000	Disabled
0x724000	0x438b000	0x1000	0xf8000	Disabled
0x725000	0x4aca000	0x1000	0xf9000	Disabled
0x726000	0x7109000	0x1000	0xfa000	Disabled
0x727000	0x4bc8000	0x1000	0xfb000	Disabled
0x728000	0x3b47000	0x1000	0xfc000	Disabled
0x729000	0x87c6000	0x1000	0xfd000	Disabled
0x72a000	0x4fc5000	0x1000	0xfe000	Disabled
0x72b000	0x4804000	0x1000	0xff000	Disabled
0x72c000	0x6c03000	0x1000	0x100000	Disabled
0x72d000	0x3bc2000	0x1000	0x101000	Disabled
0x72e000	0x87c1000	0x1000	0x102000	Disabled
0x72f000	0x4b00000	0x1000	0x103000	Disabled
0x730000	0x477f000	0x1000	0x104000	Disabled
0x731000	0x487e000	0x1000	0x105000	Disabled
0x732000	0x4ebd000	0x1000	0x106000	Disabled
0x733000	0x487c000	0x1000	0x107000	Disabled
0x734000	0x477b000	0x1000	0x108000	Disabled
0x735000	0x6f3a000	0x1000	0x109000	Disabled
0x736000	0x4eb9000	0x1000	0x10a000	Disabled
0x737000	0x3b78000	0x1000	0x10b000	Disabled
0x738000	0x4777000	0x1000	0x10c000	Disabled
0x739000	0x86f6000	0x1000	0x10d000	Disabled
0x73a000	0x4cf5000	0x1000	0x10e000	Disabled
0x73b000	0x69f4000	0x1000	0x10f000	Disabled
0x73c000	0x85f3000	0x1000	0x110000	Disabled
0x73d000	0x69f2000	0x1000	0x111000	Disabled
0x73e000	0x4b71000	0x1000	0x112000	Disabled
0x73f000	0x6a70000	0x1000	0x113000	Disabled
