Volatility 3 Framework 2.7.0

PID	Process	Base	Size	Name	Path	LoadTime	File output

376	smss.exe	0x48580000	0xf000	smss.exe	\SystemRoot\System32\smss.exe	N/A	Disabled
376	smss.exe	0x7c900000	0xaf000	ntdll.dll	C:\WINDOWS\system32\ntdll.dll	N/A	Disabled
600	csrss.exe	0x4a680000	0x5000	csrss.exe	\??\C:\WINDOWS\system32\csrss.exe	N/A	Disabled
600	csrss.exe	0x7c900000	0xaf000	-	-	N/A	Disabled
600	csrss.exe	0x75b40000	0xb000	CSRSRV.dll	C:\WINDOWS\system32\CSRSRV.dll	N/A	Disabled
600	csrss.exe	0x75b50000	0x10000	basesrv.dll	C:\WINDOWS\system32\basesrv.dll	N/A	Disabled
600	csrss.exe	0x75b60000	0x4b000	winsrv.dll	C:\WINDOWS\system32\winsrv.dll	N/A	Disabled
600	csrss.exe	0x77f10000	0x49000	GDI32.dll	C:\WINDOWS\system32\GDI32.dll	N/A	Disabled
600	csrss.exe	0x7c800000	0xf6000	KERNEL32.dll	C:\WINDOWS\system32\KERNEL32.dll	N/A	Disabled
600	csrss.exe	0x7e410000	0x91000	USER32.dll	C:\WINDOWS\system32\USER32.dll	N/A	Disabled
600	csrss.exe	0x7e720000	0xb0000	sxs.dll	C:\WINDOWS\system32\sxs.dll	N/A	Disabled
600	csrss.exe	0x77dd0000	0x9b000	ADVAPI32.dll	C:\WINDOWS\system32\ADVAPI32.dll	N/A	Disabled
600	csrss.exe	0x77e70000	0x92000	RPCRT4.dll	C:\WINDOWS\system32\RPCRT4.dll	N/A	Disabled
600	csrss.exe	0x77fe0000	0x11000	Secur32.dll	C:\WINDOWS\system32\Secur32.dll	N/A	Disabled
624	winlogon.exe	0x1000000	0x81000	winlogon.exe	\??\C:\WINDOWS\system32\winlogon.exe	N/A	Disabled
624	winlogon.exe	0x7c900000	0xaf000	ntdll.dll	C:\WINDOWS\system32\ntdll.dll	N/A	Disabled
624	winlogon.exe	0x7c800000	0xf6000	kernel32.dll	C:\WINDOWS\system32\kernel32.dll	N/A	Disabled
624	winlogon.exe	0x77dd0000	0x9b000	ADVAPI32.dll	C:\WINDOWS\system32\ADVAPI32.dll	N/A	Disabled
624	winlogon.exe	0x77e70000	0x92000	RPCRT4.dll	C:\WINDOWS\system32\RPCRT4.dll	N/A	Disabled
624	winlogon.exe	0x77fe0000	0x11000	Secur32.dll	C:\WINDOWS\system32\Secur32.dll	N/A	Disabled
624	winlogon.exe	0x776c0000	0x12000	AUTHZ.dll	C:\WINDOWS\system32\AUTHZ.dll	N/A	Disabled
624	winlogon.exe	0x77c10000	0x58000	msvcrt.dll	C:\WINDOWS\system32\msvcrt.dll	N/A	Disabled
624	winlogon.exe	0x77a80000	0x95000	CRYPT32.dll	C:\WINDOWS\system32\CRYPT32.dll	N/A	Disabled
624	winlogon.exe	0x77b20000	0x12000	MSASN1.dll	C:\WINDOWS\system32\MSASN1.dll	N/A	Disabled
624	winlogon.exe	0x7e410000	0x91000	USER32.dll	C:\WINDOWS\system32\USER32.dll	N/A	Disabled
624	winlogon.exe	0x77f10000	0x49000	GDI32.dll	C:\WINDOWS\system32\GDI32.dll	N/A	Disabled
624	winlogon.exe	0x75940000	0x8000	NDdeApi.dll	C:\WINDOWS\system32\NDdeApi.dll	N/A	Disabled
624	winlogon.exe	0x75930000	0xa000	PROFMAP.dll	C:\WINDOWS\system32\PROFMAP.dll	N/A	Disabled
624	winlogon.exe	0x5b860000	0x55000	NETAPI32.dll	C:\WINDOWS\system32\NETAPI32.dll	N/A	Disabled
624	winlogon.exe	0x769c0000	0xb4000	USERENV.dll	C:\WINDOWS\system32\USERENV.dll	N/A	Disabled
624	winlogon.exe	0x76bf0000	0xb000	PSAPI.DLL	C:\WINDOWS\system32\PSAPI.DLL	N/A	Disabled
624	winlogon.exe	0x76bc0000	0xf000	REGAPI.dll	C:\WINDOWS\system32\REGAPI.dll	N/A	Disabled
624	winlogon.exe	0x77920000	0xf3000	SETUPAPI.dll	C:\WINDOWS\system32\SETUPAPI.dll	N/A	Disabled
624	winlogon.exe	0x77c00000	0x8000	VERSION.dll	C:\WINDOWS\system32\VERSION.dll	N/A	Disabled
624	winlogon.exe	0x76360000	0x10000	WINSTA.dll	C:\WINDOWS\system32\WINSTA.dll	N/A	Disabled
624	winlogon.exe	0x76c30000	0x2e000	WINTRUST.dll	C:\WINDOWS\system32\WINTRUST.dll	N/A	Disabled
624	winlogon.exe	0x76c90000	0x28000	IMAGEHLP.dll	C:\WINDOWS\system32\IMAGEHLP.dll	N/A	Disabled
624	winlogon.exe	0x71ab0000	0x17000	WS2_32.dll	C:\WINDOWS\system32\WS2_32.dll	N/A	Disabled
624	winlogon.exe	0x71aa0000	0x8000	WS2HELP.dll	C:\WINDOWS\system32\WS2HELP.dll	N/A	Disabled
624	winlogon.exe	0x75970000	0xf8000	MSGINA.dll	C:\WINDOWS\system32\MSGINA.dll	N/A	Disabled
624	winlogon.exe	0x5d090000	0x9a000	COMCTL32.dll	C:\WINDOWS\system32\COMCTL32.dll	N/A	Disabled
624	winlogon.exe	0x74320000	0x3d000	ODBC32.dll	C:\WINDOWS\system32\ODBC32.dll	N/A	Disabled
624	winlogon.exe	0x763b0000	0x49000	comdlg32.dll	C:\WINDOWS\system32\comdlg32.dll	N/A	Disabled
