Volatility 3 Framework 2.7.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0x823c8830	0x4	Process	0x1f0fff	System Pid 4
4	System	0x823c7020	0x8	Thread	0x0	Tid 12 Pid 4
4	System	0xe13f8fb8	0xc	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xe1011490	0x10	Key	0x0	
4	System	0xe14031f8	0x14	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0xe13f8d90	0x18	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0xe100f430	0x1c	Key	0x20019	MACHINE\SYSTEM\WPA\MEDIACENTER
4	System	0xe1406430	0x20	Key	0x20019	MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM
4	System	0xe1404b38	0x24	Key	0x20019	MACHINE\SYSTEM\WPA\PNP
4	System	0xe1000498	0x28	Key	0x20019	MACHINE\SYSTEM\WPA\SIGNINGHASH-V44KQMCFXKQCTQ
4	System	0xe1013b98	0x2c	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
4	System	0xe142cc40	0x30	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG
4	System	0x823c1790	0x34	Event	0x1f0003	TRKWKS_EVENT
4	System	0x81ebb950	0x88	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\NTUSER.DAT
4	System	0xe14dc280	0x8c	Key	0x2001f	MACHINE\HARDWARE\DEVICEMAP\SCSI
4	System	0x823e2020	0x90	Thread	0x1f03ff	Tid 96 Pid 4
4	System	0xe13fc1a0	0x94	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\ACPI\PARAMETERS
4	System	0x823af300	0x98	Event	0x1f0003	VxKernel2VoldEvent
4	System	0xe150a4b8	0x9c	Key	0x2001f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0\LOGICAL UNIT ID 0
4	System	0xe14f9548	0xa0	Key	0x2001f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
4	System	0xe1504cf8	0xa4	Key	0x2001f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0
4	System	0xe14e3930	0xa8	Directory	0xf000f	WinDfs
4	System	0x82320ba0	0xb0	Thread	0x0	Tid 104 Pid 4
4	System	0xe15043c0	0xb4	Key	0x2001f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2
4	System	0xe14f7800	0xb8	Key	0x2001f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\INITIATOR ID 7
4	System	0xe150a3c0	0xcc	Directory	0xf000f	Harddisk0
4	System	0x81ddacf0	0x214	Event	0x1f0003	ProcmonExternalLoggerEnabled
4	System	0x822ca958	0x230	FilterCommunicationPort	0x1f0001	
4	System	0x81c751d0	0x248	File	0x12019f	\Device\Tcp
4	System	0x81f9ef90	0x25c	File	0x12019f	\Device\Tcp
4	System	0x82279998	0x278	Process	0x1f03ff	imapi.exe Pid 756
4	System	0x81e18b28	0x280	Process	0x1f03ff	svchost.exe Pid 1080
4	System	0x81f8eb88	0x294	File	0x12019f	\Device\Tcp
4	System	0x820ec7e8	0x2b8	Process	0x1f03ff	explorer.exe Pid 1196
4	System	0x81fee8b0	0x2bc	Process	0x1f03ff	spoolsv.exe Pid 1412
4	System	0x81da5650	0x2c0	Process	0x1f03ff	winlogon.exe Pid 624
4	System	0x81fe52d0	0x2c4	Process	0x1f03ff	vmtoolsd.exe Pid 1664
4	System	0x81e70020	0x2c8	Process	0x1f03ff	lsass.exe Pid 680
4	System	0x81fd6d88	0x2d4	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\Administrator\NTUSER.DAT
4	System	0xe21d44a0	0x2d8	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0x821a7508	0x2dc	Event	0x1f0003	PrefetchTracesReady
4	System	0x81da6a38	0x2e0	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\Administrator\ntuser.dat.LOG
4	System	0xe21ce3f8	0x2e4	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0x8227d028	0x2e8	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
4	System	0x81fd2b70	0x2f0	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
4	System	0x82335a70	0x2fc	File	0x12019f	\Device\NTPNP_PCI0042\Topology
4	System	0x8215d4f8	0x334	FilterCommunicationPort	0x1f0001	
4	System	0x822eff48	0x348	FilterConnectionPort	0x1f0001	ProcessMonitorPort
4	System	0x81f4c020	0x394	Thread	0x1f03ff	Tid 580 Pid 4
4	System	0xe21df380	0x3d0	Port	0x1f0001	
4	System	0x8224d568	0x3d8	File	0x1200a0	\Device\Udp
4	System	0x81fd6ef0	0x3dc	File	0x12019f	\Device\Tcp
4	System	0x81de8f90	0x3e0	File	0x12019f	\Device\Tcp
4	System	0x81e663d0	0x3e4	File	0x12019f	\Device\Tcp
4	System	0x81d9e830	0x3e8	File	0x12019f	\Device\Tcp
4	System	0x821ac140	0x3ec	File	0x12019f	\Device\Tcp
4	System	0x81d9d6c0	0x3f0	File	0x12019f	\Device\Tcp
4	System	0xe2121300	0x3f4	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\HTTP\PARAMETERS\URLACLINFO
4	System	0x822e5b58	0x3f8	File	0x1200a0	\Device\Tcp
4	System	0x820e4028	0x3fc	File	0x100003	\Device\Gpc
4	System	0x821aba90	0x400	Thread	0x1f03ff	Tid 248 Pid 4
4	System	0x823c4298	0x404	Event	0x1	LowMemoryCondition
4	System	0x821aa660	0x408	Thread	0x1f03ff	Tid 244 Pid 4
4	System	0x81da7a80	0x40c	Thread	0x1f03ff	Tid 240 Pid 4
4	System	0x81da9c10	0x410	Thread	0x1f03ff	Tid 236 Pid 4
4	System	0x820e6980	0x414	Thread	0x1f03ff	Tid 232 Pid 4
4	System	0x820e4f18	0x418	File	0x1200a0	\Device\Tcp
4	System	0xe1bbf748	0x41c	Directory	0xf000f	Http
4	System	0x821380a0	0x42c	File	0x12019f	\Device\Tcp
4	System	0x82259ec8	0x430	File	0x1f01ff	\Device\Udp
4	System	0x82257f90	0x440	File	0x12019f	\Device\Tcp
4	System	0x81c9cb80	0x450	File	0x12019f	\Device\Tcp
4	System	0x81c9cd38	0x454	File	0x12019f	\Device\Tcp
4	System	0x81c9cef0	0x458	File	0x12019f	\Device\Tcp
4	System	0x81dee110	0x45c	File	0x12019f	\Device\Tcp
4	System	0x81dee2c8	0x460	File	0x12019f	\Device\Tcp
4	System	0x81dee480	0x464	File	0x12019f	\Device\Tcp
4	System	0x81dee638	0x468	File	0x12019f	\Device\Tcp
4	System	0x81dee7f0	0x46c	File	0x12019f	\Device\Tcp
4	System	0x81dee9a8	0x470	File	0x12019f	\Device\Tcp
4	System	0x81deeb60	0x474	File	0x12019f	\Device\Tcp
4	System	0x81deed18	0x478	File	0x12019f	\Device\Tcp
4	System	0x81deeea0	0x47c	File	0x12019f	\Device\Tcp
4	System	0x81dee028	0x480	File	0x12019f	\Device\Tcp
4	System	0x81fdc250	0x484	File	0x12019f	\Device\Tcp
4	System	0x81fdc408	0x488	File	0x12019f	\Device\Tcp
4	System	0x81fdc5c0	0x48c	File	0x12019f	\Device\Tcp
4	System	0x81fdc778	0x490	File	0x12019f	\Device\Tcp
